strain	accession	site	reads	flu	ct	date
A/Kenya/Kilifi-003/2009	EPI_ISL_426138	Kilifi	"423,881"	"2,451"	28.05	08-Oct-09
A/Kenya/Kilifi-006/2009	EPI_ISL_426139	Kilifi	"438,231"	"107,871"	19.32	28-Nov-09
A/Kenya/Kilifi-008/2009	EPI_ISL_426140	Kilifi	"279,770"	"208,817"	25.88	13-Dec-09
A/Kenya/Kilifi-009/2009	EPI_ISL_426141	Kilifi	"428,592"	"199,634"	24.54	19-Dec-09
A/Kenya/Kilifi-011/2010	EPI_ISL_426142	Kilifi	"371,413"	"246,220"	11	27-Nov-10
A/Kenya/Kilifi-012/2010	EPI_ISL_426143	Kilifi	"488,230"	"168,169"	26.03	28-Nov-10
A/Kenya/Kilifi-013/2010	EPI_ISL_426144	Kilifi	"409,491"	"241,507"	22.43	13-Dec-10
A/Kenya/Kilifi-014/2010	EPI_ISL_426145	Kilifi	"409,979"	"384,582"	24.59	28-Dec-10
A/Kenya/Kilifi-016/2011	EPI_ISL_426146	Kilifi	"395,668"	"154,687"	27.13	07-Jan-11
A/Kenya/Kilifi-018/2011	EPI_ISL_426147	Kilifi	"293,831"	"54,740"	28.38	27-Jan-11
A/Kenya/Kilifi-020/2011	EPI_ISL_426148	Kilifi	"500,005"	"434,901"	25.89	10-Feb-11
A/Kenya/Kilifi-021/2011	EPI_ISL_426149	Kilifi	"555,193"	"431,908"	14.92	27-Feb-11
A/Kenya/Kilifi-022/2011	EPI_ISL_426150	Kilifi	"491,438"	"468,136"	18.13	22-May-11
A/Kenya/Kilifi-023/2011	EPI_ISL_426151	Kilifi	"464,710"	"445,000"	20.68	29-Jun-11
A/Kenya/Kilifi-029/2011	EPI_ISL_426152	Kilifi	"449,861"	"228,672"	26.75	27-Nov-11
A/Kenya/Kilifi-039/2015	EPI_ISL_426153	Kilifi	"305,288"	"279,529"	25.87	05-Aug-15
A/Kenya/Kilifi-040/2015	EPI_ISL_426154	Kilifi	"427,875"	"409,540"	23.79	19-Aug-15
A/Kenya/Kilifi-041/2015	EPI_ISL_426155	Kilifi	"439,401"	"335,471"	27.2	18-Sep-15
A/Kenya/Kilifi-043/2015	EPI_ISL_426156	Kilifi	"423,787"	"414,836"	23.75	20-Sep-15
A/Kenya/Kilifi-045/2015	EPI_ISL_426157	Kilifi	"391,429"	"358,412"	27.05	15-Oct-15
A/Kenya/Kilifi-047/2015	EPI_ISL_426158	Kilifi	"486,930"	"443,085"	26.19	21-Nov-15
A/Kenya/Kilifi-049/2015	EPI_ISL_426162	Kilifi	"162,385"	"102,979"	26.68	25-Nov-15
A/Kenya/Kilifi-127/2013	EPI_ISL_426165	Kilifi	"297,138"	"283,777"	22.98	10-May-13
A/Kenya/Kilifi-128/2013	EPI_ISL_426170	Kilifi	"364,175"	"357,104"	24.1	26-Sep-13
A/Kenya/Kilifi-134/2011	EPI_ISL_426172	Kilifi	"387,443"	"291,248"	26.07	02-May-11
A/Kenya/Kilifi-137/2015	EPI_ISL_426174	Kilifi	"448,709"	"38,958"	27.04	20-Aug-15
A/Kenya/Kilifi-139/2015	EPI_ISL_426175	Kilifi	"638,407"	"587,473"	26.65	01-Sep-15
A/Kenya/Kilifi-150/2014	EPI_ISL_426176	Kilifi	"497,822"	"399,792"	29.2	17-May-14
A/Kenya/Kilifi-151/2014	EPI_ISL_426177	Kilifi	"504,501"	"24,404"	30.05	27-May-14
A/Kenya/Kilifi-153/2014	EPI_ISL_426178	Kilifi	"645,749"	"424,306"	31.67	19-Jun-14
A/Kenya/Kilifi-001/2018	EPI_ISL_426329	Kilifi	"304,202"	"294,730"	24	12-Mar-18
A/Kenya/Kilifi-002/2018	EPI_ISL_426330	Kilifi	"307,214"	"255,618"	29	24-Mar-18
A/Kenya/Kilifi-003/2018	EPI_ISL_426331	Kilifi	"500,713"	"429,745"	29	26-Mar-18
A/Kenya/Kilifi-004/2018	EPI_ISL_426332	Kilifi	"356,989"	"131,635"	29	13-Apr-18
A/Kenya/Kilifi-005/2018	EPI_ISL_426333	Kilifi	"642,691"	"626,636"	28	14-Apr-18
A/Kenya/Kilifi-007/2018	EPI_ISL_426334	Kilifi	"806,889"	"758,634"	24	24-May-18
A/Kenya/Kilifi-008/2018	EPI_ISL_426335	Kilifi	"685,440"	"672,524"	25	30-Jun-18
A/Kenya/Kilifi-009/2018	EPI_ISL_426336	Kilifi	"256,841"	"247,577"	25	08-Jul-18
A/Kenya/Kilifi-010/2018	EPI_ISL_426337	Kilifi	"278,113"	"97,139"	34	17-Jul-18
A/Kenya/CDC-Mombasa-002/2018	EPI_ISL_429838 	Mombasa	"365,933"	"268,588"	29.1	16-Apr-18
A/Kenya/CDC-Mombasa-003/2018	EPI_ISL_429839	Mombasa	"238,363"	"152,998"	27.6	16-Apr-18
A/Kenya/CDC-Mombasa-005/2018	EPI_ISL_429840 	Mombasa	"91,463"	"28,413"	26.53	13-Aug-18
A/Kenya/CDC-Mombasa-008/2018	EPI_ISL_429841 	Mombasa	"116,618"	"17,889"	32.56	29-May-18
A/Kenya/CDC-Mombasa-009/2018	EPI_ISL_429842	Mombasa	"232,086"	"7,852"	29.53	10-Jul-18
A/Kenya/CDC-Kakamega-001/2009	EPI_ISL_426338	Kakamega	"389,432"	"362,682"	21.8	20-Aug-09
A/Kenya/CDC-Kakamega-002/2009	EPI_ISL_426339	Kakamega	"292,111"	"102,495"	25.24	21-Sep-09
A/Kenya/CDC-Kakamega-003/2009	EPI_ISL_426340	Kakamega	"398,530"	"376,771"	35.84	21-Sep-09
A/Kenya/CDC-Kakamega-004/2009	EPI_ISL_426341	Kakamega	"362,863"	"319,140"	21.54	21-Sep-09
A/Kenya/CDC-Kakamega-005/2009	EPI_ISL_426342	Kakamega	"401,755"	"371,725"	18.3	27-Oct-09
A/Kenya/CDC-Kakamega-006/2009	EPI_ISL_426343	Kakamega	"416,971"	"393,168"	20.75	07-Sep-09
A/Kenya/CDC-Kakamega-007/2009	EPI_ISL_426344	Kakamega	"369,029"	"214,113"	23.22	21-Sep-09
A/Kenya/CDC-Kakamega-008/2009	EPI_ISL_426345	Kakamega	"418,683"	"380,595"	20	21-Sep-09
A/Kenya/CDC-Kakamega-009/2009	EPI_ISL_426346	Kakamega	"359,524"	"239,692"	29.35	21-Sep-09
A/Kenya/CDC-Kakamega-010/2009	EPI_ISL_426347	Kakamega	"273,384"	"255,038"	21.86	21-Sep-09
A/Kenya/CDC-Kakamega-011/2009	EPI_ISL_426348	Kakamega	"169,321"	"135,974"	25.08	21-Sep-09
A/Kenya/CDC-Kakamega-012/2009	EPI_ISL_426349	Kakamega	"259,304"	"223,602"	22	11-Nov-09
A/Kenya/CDC-Kakamega-013/2009	EPI_ISL_426350	Kakamega	"239,758"	"160,794"	20.98	09-Oct-09
A/Kenya/CDC-Kakamega-018/2009	EPI_ISL_426351	Kakamega	"245,738"	"233,259"	20	22-Oct-09
A/Kenya/CDC-Kakamega-019/2009	EPI_ISL_426352	Kakamega	"336,502"	"302,637"	21	22-Oct-09
A/Kenya/CDC-Kakamega-022/2009	EPI_ISL_426353	Kakamega	"316,845"	"195,410"	20.6	04-Nov-09
A/Kenya/CDC-Kakamega-025/2009	EPI_ISL_426354	Kakamega	"386,000"	"111,846"	23.53	10-Nov-09
A/Kenya/CDC-Kakamega-026/2009	EPI_ISL_426355	Kakamega	"388,093"	"353,408"	23.14	30-Oct-09
A/Kenya/CDC-Kakamega-030/2010	EPI_ISL_426486	Kakamega	"199,391"	"98,009"	21.11	08-Dec-10
A/Kenya/CDC-Kakamega-031/2010	EPI_ISL_426487	Kakamega	"213,127"	"185,147"	22.75	29-Nov-10
A/Kenya/CDC-Kakamega-033/2011	EPI_ISL_426488	Kakamega	"462,944"	"394,470"	23.05	17-Feb-11
A/Kenya/CDC-Kakamega-034/2011	EPI_ISL_426489	Kakamega	"361,977"	"294,698"	20.83	21-Feb-11
A/Kenya/CDC-Kakamega-036/2011	EPI_ISL_426490	Kakamega	"484,795"	"147,591"	28.77	24-Feb-11
A/Kenya/CDC-Kakamega-037/2011	EPI_ISL_426491	Kakamega	"403,695"	"374,222"	23.14	24-Feb-11
A/Kenya/CDC-Kakamega-038/2011	EPI_ISL_426492	Kakamega	"384,397"	"364,242"	20.58	25-Feb-11
A/Kenya/CDC-Kakamega-039/2011	EPI_ISL_426493	Kakamega	"269,901"	"9,872"	32.05	28-Feb-11
A/Kenya/CDC-Kakamega-040/2011	EPI_ISL_426494	Kakamega	"324,077"	"312,399"	18.56	01-Mar-11
A/Kenya/CDC-Kakamega-042/2011	EPI_ISL_426570	Kakamega	"329,934"	"305,769"	18.42	03-Mar-11
A/Kenya/CDC-Kakamega-043/2011	EPI_ISL_426571	Kakamega	"342,351"	"329,426"	17.26	04-Mar-11
A/Kenya/CDC-Kakamega-044/2011	EPI_ISL_426572	Kakamega	"424,142"	"157,680"	25.31	07-Mar-11
A/Kenya/CDC-Kakamega-045/2011	EPI_ISL_426573	Kakamega	"456,243"	"422,644"	23.09	08-Mar-11
A/Kenya/CDC-Kakamega-046/2011	EPI_ISL_426574	Kakamega	"396,884"	"371,515"	21.36	08-Mar-11
A/Kenya/CDC-Kakamega-047/2011	EPI_ISL_426575	Kakamega	"348,177"	"320,253"	20.87	14-Mar-11
A/Kenya/CDC-Kakamega-050/2011	EPI_ISL_426576	Kakamega	"388,372"	"357,204"	24.06	25-Mar-11
A/Kenya/CDC-Kakamega-051/2011	EPI_ISL_426577	Kakamega	"440,336"	"377,618"	22.89	26-Aug-11
A/Kenya/CDC-Kakamega-052/2011	EPI_ISL_426578	Kakamega	"386,323"	"148,215"	27.03	06-Sep-11
A/Kenya/CDC-Kakamega-053/2011	EPI_ISL_426579	Kakamega	"380,427"	"61,460"	24.6	01-Nov-11
A/Kenya/CDC-Kakamega-055/2014	EPI_ISL_427399	Kakamega	"377,441"	"236,326"	20.77	04-Feb-14
A/Kenya/CDC-Kakamega-056/2014	EPI_ISL_427400	Kakamega	"403,934"	"330,681"	24.2	18-Mar-14
A/Kenya/CDC-Kakamega-057/2014	EPI_ISL_427401	Kakamega	"353,325"	"313,273"	25.8	31-Mar-14
A/Kenya/CDC-Kakamega-060/2014	EPI_ISL_427402	Kakamega	"366,009"	"337,683"	21.47	09-Jul-14
A/Kenya/CDC-Kakamega-061/2014	EPI_ISL_427403	Kakamega	"324,506"	"60,360"	29.86	05-Aug-14
A/Kenya/CDC-Kakamega-062/2014	EPI_ISL_427413	Kakamega	"341,420"	"316,186"	29.09	22-Sep-14
A/Kenya/CDC-Kakamega-063/2014	EPI_ISL_427421	Kakamega	"332,068"	"276,821"	20.37	24-Sep-14
A/Kenya/CDC-Kakamega-064/2014	EPI_ISL_427422	Kakamega	"360,160"	"201,660"	28.06	05-Nov-14
A/Kenya/CDC-Kakamega-065/2014	EPI_ISL_427423	Kakamega	"318,934"	"299,051"	21.4	17-Nov-14
A/Kenya/CDC-Kakamega-066/2015	EPI_ISL_427424	Kakamega	"403,221"	"382,165"	26.4	07-Apr-15
A/Kenya/CDC-Kakamega-067/2016	EPI_ISL_427425	Kakamega	"596,766"	"348,068"	26.4	18-Apr-16
A/Kenya/CDC-Kakamega-068/2016	EPI_ISL_427426	Kakamega	"472,521"	"412,151"	27.1	11-Jul-16
A/Kenya/CDC-Kakamega-069/2016	EPI_ISL_427463	Kakamega	"534,955"	"514,525"	34.4	19-Jul-16
A/Kenya/CDC-Kakamega-070/2016	EPI_ISL_427464	Kakamega	"367,029"	"243,584"	25.7	25-Jul-16
A/Kenya/CDC-Kakamega-071/2016	EPI_ISL_427465	Kakamega	"437,013"	"415,491"	22.1	10-Aug-16
A/Kenya/CDC-Kakamega-072/2016	EPI_ISL_427466	Kakamega	"253,195"	"112,244"	26.9	22-Aug-16
A/Kenya/CDC-Kakamega-073/2016	EPI_ISL_427467	Kakamega	"198,922"	"173,057"	18.9	22-Aug-16
A/Kenya/CDC-Kakamega-075/2010	EPI_ISL_427468	Kakamega	"244,806"	"194,947"	17.11	29-Nov-10
A/Kenya/CDC-Kakamega-076/2010	EPI_ISL_427522	Kakamega	"379,381"	"186,375"	23.86	16-Dec-10
A/Kenya/CDC-Kakamega-077/2010	EPI_ISL_427523	Kakamega	"155,754"	"101,659"	20.29	04-Nov-10
A/Kenya/CDC-Kakamega-001/2018	EPI_ISL_428406	Kakamega	"514,088"	"371,044"	22.27	04-Apr-18
A/Kenya/CDC-Kakamega-002/2018	EPI_ISL_428407	Kakamega	"326,275"	"196,839"	27.16	27-Aug-18
A/Kenya/CDC-Kakamega-003/2018	EPI_ISL_428408	Kakamega	"354,069"	"112,377"	32.66	01-Aug-18
A/Kenya/CDC-Kakamega-004/2018	EPI_ISL_428409	Kakamega	"427,916"	"134,909"	28.75	30-Jul-18
A/Kenya/CDC-Kakamega-005/2018	EPI_ISL_428410	Kakamega	"411,686"	"309,308"	29.18	30-Jul-18
A/Kenya/CDC-Kakamega-006/2018	EPI_ISL_428411	Kakamega	"479,623"	"355,621"	24.08	27-Mar-18
A/Kenya/CDC-Kakamega-007/2018	EPI_ISL_428412	Kakamega	"589,366"	"154,895"	22.34	12-Jun-18
A/Kenya/CDC-Kakamega-008/2018	EPI_ISL_428413	Kakamega	"381,724"	"1,143"	30.16	26-Jun-18
A/Kenya/CDC-Kakamega-009/2018	EPI_ISL_428414	Kakamega	"470,390"	"135,158"	32.6	29-May-18
A/Kenya/CDC-Kakamega-010/2018	EPI_ISL_428415	Kakamega	"352,581"	"268,409"	23.42	16-Jul-18
A/Kenya/CDC-Kakamega-014/2018	EPI_ISL_428416	Kakamega	"299,782"	"51,368"	28.23	16-Jul-18
A/Kenya/CDC-Kakamega-015/2018	EPI_ISL_428417	Kakamega	"163,080"	"95,491"	29.17	24-Jul-18
A/Kenya/CDC-Kakamega-017/2018	EPI_ISL_428418	Kakamega	"384,768"	"207,379"	22.85	03-Jul-18
A/Kenya/CDC-Kakamega-018/2018	EPI_ISL_428419	Kakamega	"328,555"	"220,877"	24.98	03-Jul-18
A/Kenya/CDC-KNH-001/2009	EPI_ISL_420557	Nairobi	"356,713"	"203,327"	23.47	10-Jul-09
A/Kenya/CDC-KNH-002/2009	EPI_ISL_420558	Nairobi	"307,112"	"264,747"	16.4	23-Jul-09
A/Kenya/CDC-KNH-003/2009	EPI_ISL_420559	Nairobi	"279,794"	"250,552"	17.1	29-Jul-09
A/Kenya/CDC-KNH-004/2009	EPI_ISL_420560	Nairobi	"355,997"	"138,759"	27.9	11-Aug-09
A/Kenya/CDC-KNH-006/2009	EPI_ISL_420561	Nairobi	"512,867"	"477,635"	20.19	12-Oct-09
A/Kenya/CDC-KNH-009/2009	EPI_ISL_420562	Nairobi	"413,095"	"237,635"	21.19	03-Nov-09
A/Kenya/CDC-KNH-011/2009	EPI_ISL_420593	Nairobi	"510,128"	"401,176"	24.44	25-Nov-09
A/Kenya/CDC-KNH-012/2009	EPI_ISL_420594	Nairobi	"459,359"	"150,578"	27.48	27-Nov-09
A/Kenya/CDC-KNH-013/2009	EPI_ISL_420595	Nairobi	"262,594"	"112,063"	26.39	30-Nov-09
A/Kenya/CDC-KNH-014/2009	EPI_ISL_420596	Nairobi	"376,127"	"346,849"	17.76	02-Dec-09
A/Kenya/CDC-KNH-021/2010	EPI_ISL_420597	Nairobi	"329,325"	"272,269"	27.21	09-Nov-10
A/Kenya/CDC-KNH-022/2010	EPI_ISL_420601	Nairobi	"272,030"	"162,259"	25.49	10-Nov-10
A/Kenya/CDC-KNH-023/2010	EPI_ISL_420602	Nairobi	"327,253"	"290,985"	22.41	10-Nov-10
A/Kenya/CDC-KNH-024/2010	EPI_ISL_420603	Nairobi	"281,273"	"172,972"	20.5	11-Nov-10
A/Kenya/CDC-KNH-025/2010	EPI_ISL_420626	Nairobi	"239,229"	"18,423"	29	17-Nov-10
A/Kenya/CDC-KNH-026/2010	EPI_ISL_420627	Nairobi	"231,176"	"122,567"	28.03	17-Nov-10
A/Kenya/CDC-KNH-028/2010	EPI_ISL_420778	Nairobi	"293,572"	"34,469"	27.55	23-Nov-10
A/Kenya/CDC-KNH-029/2010	EPI_ISL_420779	Nairobi	"249,235"	"200,995"	23.85	23-Nov-10
A/Kenya/CDC-KNH-030/2010	EPI_ISL_420780	Nairobi	"428,048"	"96,991"	26.88	29-Nov-10
A/Kenya/CDC-KNH-031/2010	EPI_ISL_420781	Nairobi	"205,607"	"158,004"	21.76	30-Nov-10
A/Kenya/CDC-KNH-032/2010	EPI_ISL_420782	Nairobi	"272,638"	"237,512"	39.7	07-Dec-10
A/Kenya/CDC-KNH-033/2010	EPI_ISL_420783	Nairobi	"353,662"	"246,376"	27.31	10-Dec-10
A/Kenya/CDC-KNH-034/2011	EPI_ISL_420826	Nairobi	"423,169"	"148,427"	27	14-Mar-11
A/Kenya/CDC-KNH-035/2011	EPI_ISL_420827	Nairobi	"305,802"	"162,181"	21.95	21-Feb-11
A/Kenya/CDC-KNH-038/2011	EPI_ISL_420828	Nairobi	"295,100"	"107,609"	19.52	23-Feb-11
A/Kenya/CDC-KNH-040/2011	EPI_ISL_420829	Nairobi	"281,968"	"48,074"	24.04	23-May-11
A/Kenya/CDC-KNH-043/2011	EPI_ISL_420830	Nairobi	"271,642"	"211,103"	21.07	23-Jun-11
A/Kenya/CDC-KNH-044/2011	EPI_ISL_420831	Nairobi	"232,122"	"131,817"	22.05	29-Jun-11
A/Kenya/CDC-KNH-045/2011	EPI_ISL_420832	Nairobi	"321,517"	"258,677"	22.38	29-Jun-11
A/Kenya/CDC-KNH-046/2011	EPI_ISL_420833	Nairobi	"601,661"	"529,348"	23.04	05-Jul-11
A/Kenya/CDC-KNH-047/2011	EPI_ISL_420834	Nairobi	"314,224"	"138,817"	22.72	07-Jul-11
A/Kenya/CDC-KNH-048/2011	EPI_ISL_420835	Nairobi	"370,051"	"347,452"	21.91	08-Jul-11
A/Kenya/CDC-KNH-049/2011	EPI_ISL_420836	Nairobi	"256,284"	"89,658"	23.55	11-Jul-11
A/Kenya/CDC-KNH-050/2011	EPI_ISL_420837	Nairobi	"297,063"	"191,273"	23.55	12-Jul-11
A/Kenya/CDC-KNH-051/2011	EPI_ISL_420880	Nairobi	"215,010"	"75,746"	26.16	12-Jul-11
A/Kenya/CDC-KNH-052/2011	EPI_ISL_420881	Nairobi	"271,297"	"236,004"	22.87	14-Jul-11
A/Kenya/CDC-KNH-053/2011	EPI_ISL_420882	Nairobi	"302,890"	"191,905"	25.45	14-Jul-11
A/Kenya/CDC-KNH-054/2011	EPI_ISL_421216	Nairobi	"327,353"	"283,127"	20.97	14-Jul-11
A/Kenya/CDC-KNH-055/2011	EPI_ISL_421217	Nairobi	"324,232"	"303,460"	20.08	19-Jul-11
A/Kenya/CDC-KNH-056/2011	EPI_ISL_421218	Nairobi	"292,784"	"255,909"	25.27	21-Jul-11
A/Kenya/CDC-KNH-057/2011	EPI_ISL_421219	Nairobi	"327,137"	"300,731"	23.54	22-Jul-11
A/Kenya/CDC-KNH-058/2011	EPI_ISL_421220	Nairobi	"273,532"	"214,309"	23.92	22-Jul-11
A/Kenya/CDC-KNH-061/2011	EPI_ISL_421255	Nairobi	"248,738"	"133,214"	25.46	05-Aug-11
A/Kenya/CDC-KNH-062/2011	EPI_ISL_421263	Nairobi	"302,353"	"199,603"	25.3	08-Aug-11
A/Kenya/CDC-KNH-063/2011	EPI_ISL_421265	Nairobi	"294,700"	"220,301"	27.18	10-Aug-11
A/Kenya/CDC-KNH-065/2011	EPI_ISL_421266	Nairobi	"215,341"	"162,201"	22.27	01-Sep-11
A/Kenya/CDC-KNH-066/2011	EPI_ISL_421270	Nairobi	"247,941"	"11,900"	32.02	12-Oct-11
A/Kenya/CDC-KNH-067/2011	EPI_ISL_421271	Nairobi	"214,945"	"6,036"	29.23	19-Oct-11
A/Kenya/CDC-KNH-070/2014	EPI_ISL_421274	Nairobi	"425,136"	"407,057"	25.72	12-Feb-14
A/Kenya/CDC-KNH-071/2014	EPI_ISL_421276	Nairobi	"372,750"	"339,494"	24.81	27-Feb-14
A/Kenya/CDC-KNH-080/2015	EPI_ISL_421278	Nairobi	"209,728"	"153,253"	20.88	16-Jul-15
A/Kenya/CDC-KNH-081/2015	EPI_ISL_421277	Nairobi	"266,668"	"60,902"	25.69	21-Jul-15
A/Kenya/CDC-KNH-084/2015	EPI_ISL_421280	Nairobi	"208,305"	"51,388"	24.55	05-Aug-15
A/Kenya/CDC-KNH-085/2015	EPI_ISL_421282	Nairobi	"234,582"	"96,796"	24.17	11-Aug-15
A/Kenya/CDC-KNH-088/2015	EPI_ISL_421337	Nairobi	"292,273"	"261,866"	21.08	03-Sep-15
A/Kenya/CDC-KNH-089/2016	EPI_ISL_421344	Nairobi	"246,192"	"57,212"	21.94	04-Jul-16
A/Kenya/CDC-KNH-002/2018	EPI_ISL_421436	Nairobi	"497,508"	"372,878"	23	22-Jan-18
A/Kenya/CDC-KNH-004/2018	EPI_ISL_421437	Nairobi	"487,180"	"245,593"	27.3	20-Feb-18
A/Kenya/CDC-KNH-005/2018	EPI_ISL_421438	Nairobi	"341,749"	"79,956"	29.2	19-Feb-18
A/Kenya/CDC-KNH-008/2018	EPI_ISL_421439	Nairobi	"366,823"	"244,725"	24.6	26-Feb-18
A/Kenya/CDC-KNH-009/2018	EPI_ISL_421440	Nairobi	"289,682"	"185,392"	24.01	19-Mar-18
