strain	accession	site	reads	flu	ct	date
A/Kenya/CDC-Nakuru-062/2010	EPI_ISL_421682	Nakuru	"393,022"	"305,512"	23	23-Jul-10
A/Kenya/CDC-Nakuru-063/2010	EPI_ISL_421693	Nakuru	"442,725"	"361,079"	25.99	05-Nov-10
A/Kenya/CDC-Nakuru-065/2010	EPI_ISL_421694	Nakuru	"297,710"	"178,654"	23.05	12-Oct-10
A/Kenya/CDC-Nakuru-067/2010	EPI_ISL_421695	Nakuru	"362,506"	"305,527"	25.68	12-Oct-10
A/Kenya/CDC-Nakuru-068/2010	EPI_ISL_421696	Nakuru	"482,688"	"403,114"	19.59	15-Oct-10
A/Kenya/CDC-Nakuru-069/2010	EPI_ISL_421697	Nakuru	"505,039"	"327,212"	25.56	17-Nov-10
A/Kenya/CDC-Nakuru-071/2010	EPI_ISL_421698	Nakuru	"481,856"	"443,359"	24.63	24-Nov-10
A/Kenya/CDC-Nakuru-072/2010	EPI_ISL_421699	Nakuru	"362,328"	"113,065"	23.28	24-Nov-10
A/Kenya/CDC-Nakuru-073/2010	EPI_ISL_421700	Nakuru	"200,394"	"70,325"	29.22	25-Nov-10
A/Kenya/CDC-Nakuru-074/2010	EPI_ISL_421701	Nakuru	"275,763"	"21,602"	25.37	25-Nov-10
A/Kenya/CDC-Nakuru-076/2010	EPI_ISL_421702	Nakuru	"503,775"	"210,290"	26.94	01-Dec-10
A/Kenya/CDC-Nakuru-077/2010	EPI_ISL_421703	Nakuru	"366,783"	"200,568"	28.05	02-Dec-10
A/Kenya/CDC-Nakuru-078/2009	EPI_ISL_421764	Nakuru	"416,485"	"282,773"	18.6	28-Oct-09
A/Kenya/CDC-Nakuru-079/2009	EPI_ISL_421765	Nakuru	"280,671"	"188,073"	24.02	29-Oct-09
A/Kenya/CDC-Nakuru-080/2009	EPI_ISL_421766	Nakuru	"352,235"	"285,019"	24.7	02-Nov-09
A/Kenya/CDC-Nakuru-081/2009	EPI_ISL_421767	Nakuru	"377,915"	"319,787"	17.1	03-Nov-09
A/Kenya/CDC-Nakuru-083/2009	EPI_ISL_421950	Nakuru	"265,629"	"181,183"	21.6	26-Oct-09
A/Kenya/CDC-Nakuru-084/2009	EPI_ISL_422013	Nakuru	"236,068"	"189,672"	20.8	04-Nov-09
A/Kenya/CDC-Nakuru-086/2009	EPI_ISL_422014	Nakuru	"261,635"	"222,463"	21.8	06-Nov-09
A/Kenya/CDC-Nakuru-087/2009	EPI_ISL_422015	Nakuru	"409,263"	"355,435"	18.7	09-Nov-09
A/Kenya/CDC-Nakuru-088/2009	EPI_ISL_422101	Nakuru	"435,204"	"373,874"	19.4	10-Nov-09
A/Kenya/CDC-Nakuru-089/2009	EPI_ISL_422367	Nakuru	"310,712"	"233,112"	22.2	10-Nov-09
A/Kenya/CDC-Nakuru-090/2009	EPI_ISL_422378	Nakuru	"331,088"	"178,755"	21.7	10-Nov-09
A/Kenya/CDC-Nakuru-091/2009	EPI_ISL_422379	Nakuru	"210,474"	"84,637"	21.5	13-Nov-09
A/Kenya/CDC-Nakuru-093/2009	EPI_ISL_422380	Nakuru	"260,183"	"76,832"	20.4	16-Nov-09
A/Kenya/CDC-Nakuru-094/2009	EPI_ISL_422381	Nakuru	"275,244"	"204,809"	21.7	17-Nov-09
A/Kenya/CDC-Nakuru-095/2011	EPI_ISL_422452	Nakuru	"188,229"	"74,027"	21.29	24-Mar-11
A/Kenya/CDC-Nakuru-096/2011	EPI_ISL_422454	Nakuru	"248,482"	"119,169"	29	24-Nov-11
A/Kenya/CDC-Nakuru-097/2011	EPI_ISL_422455	Nakuru	"334,834"	"276,076"	30.5	24-Nov-11
A/Kenya/CDC-Nakuru-098/2011	EPI_ISL_422456	Nakuru	"328,150"	"174,718"	26.79	27-Jun-11
A/Kenya/CDC-Nakuru-099/2011	EPI_ISL_422457	Nakuru	"253,837"	"146,841"	19.9	28-Jun-11
A/Kenya/CDC-Nakuru-100/2011	EPI_ISL_422458	Nakuru	"194,350"	"7,890"	27	11-Jul-11
A/Kenya/CDC-Nakuru-103/2011	EPI_ISL_422460	Nakuru	"331,464"	"289,809"	24.72	22-Mar-11
A/Kenya/CDC-Nakuru-104/2011	EPI_ISL_422466	Nakuru	"763,464"	"712,514"	17.5	05-Apr-11
A/Kenya/CDC-Nakuru-105/2011	EPI_ISL_422467	Nakuru	"339,321"	"217,897"	21.48	20-Jun-11
A/Kenya/CDC-Nakuru-106/2011	EPI_ISL_422468	Nakuru	"454,344"	"327,687"	21.7	27-Jun-11
A/Kenya/CDC-Nakuru-107/2011	EPI_ISL_422469	Nakuru	"454,061"	"389,001"	17.37	28-Jun-11
A/Kenya/CDC-Nakuru-110/2011	EPI_ISL_422470	Nakuru	"429,964"	"371,238"	20.6	18-Oct-11
A/Kenya/CDC-Nakuru-112/2011	EPI_ISL_422471	Nakuru	"451,047"	"374,721"	19.1	18-Nov-11
A/Kenya/CDC-Nakuru-001/2018	EPI_ISL_422472	Nakuru	"294,829"	"159,849"	23.2	23-Apr-18
A/Kenya/CDC-Nakuru-002/2018	EPI_ISL_422473	Nakuru	"327,716"	"178,329"	29.94	24-Jul-18
A/Kenya/CDC-Nakuru-003/2018	EPI_ISL_422474	Nakuru	"366,650"	"256,545"	26.22	13-Mar-18
A/Kenya/CDC-Nakuru-004/2018	EPI_ISL_422475	Nakuru	"199,097"	"134,067"	23.1	03-Apr-18
A/Kenya/CDC-Nakuru-005/2018	EPI_ISL_422476	Nakuru	"309,325"	"162,079"	22.6	03-Apr-18
A/Kenya/CDC-Nakuru-006/2018	EPI_ISL_422477	Nakuru	"525,695"	"191,036"	24.7	03-Apr-18
A/Kenya/CDC-Nakuru-010/2018	EPI_ISL_422478	Nakuru	"221,586"	"159,411"	29.92	11-Jun-18
A/Kenya/CDC-Nakuru-011/2018	EPI_ISL_422479	Nakuru	"178,665"	"5,425"	32.82	30-Jul-18
A/Kenya/CDC-Nakuru-012/2018	EPI_ISL_422480	Nakuru	"293,737"	"20,318"	29.71	27-Jun-18
A/Kenya/CDC-Nakuru-013/2018	EPI_ISL_422481	Nakuru	"429,890"	"308,684"	24.8	21-May-18
A/Kenya/CDC-Nakuru-014/2018	EPI_ISL_422482	Nakuru	"264,748"	"133,709"	25.2	11-Apr-18
A/Kenya/CDC-Nakuru-016/2018	EPI_ISL_422483	Nakuru	"299,643"	"214,617"	33.61	18-Jul-18
A/Kenya/CDC-Nakuru-018/2018	EPI_ISL_422484	Nakuru	"228,310"	"127,356"	21.5	05-Mar-18
A/Kenya/CDC-Nakuru-019/2018	EPI_ISL_422485	Nakuru	"497,738"	"366,541"	25.37	05-Mar-18
A/Kenya/CDC-Nakuru-021/2018	EPI_ISL_422486	Nakuru	"424,404"	"279,347"	24.33	03-Jul-18
A/Kenya/CDC-Nakuru-022/2018	EPI_ISL_422487	Nakuru	"216,098"	"13,847"	29.4	07-May-18
A/Kenya/CDC-Nyeri-001/2009	EPI_ISL_428733	Nyeri	"435,226"	"311,675"	25.9	12-Aug-09
A/Kenya/CDC-Nyeri-002/2009	EPI_ISL_428734	Nyeri	"369,437"	"332,785"	21.22	03-Sep-09
A/Kenya/CDC-Nyeri-003/2009	EPI_ISL_428735	Nyeri	"337,521"	"302,402"	23.54	03-Sep-09
A/Kenya/CDC-Nyeri-004/2009	EPI_ISL_428736	Nyeri	"389,988"	"326,235"	20.59	28-Sep-09
A/Kenya/CDC-Nyeri-006/2009	EPI_ISL_428737	Nyeri	"220,409"	"197,402"	18.3	21-Oct-09
A/Kenya/CDC-Nyeri-007/2009	EPI_ISL_428738	Nyeri	"333,776"	"257,906"	27.3	22-Oct-09
A/Kenya/CDC-Nyeri-010/2009	EPI_ISL_428739	Nyeri	"325,501"	"217,456"	24.1	04-Nov-09
A/Kenya/CDC-Nyeri-011/2009	EPI_ISL_428741	Nyeri	"376,182"	"336,265"	22.8	05-Nov-09
A/Kenya/CDC-Nyeri-012/2009	EPI_ISL_428742	Nyeri	"326,130"	"273,495"	21.7	06-Nov-09
A/Kenya/CDC-Nyeri-014/2009	EPI_ISL_428743	Nyeri	"340,468"	"180,346"	25.44	10-Nov-09
A/Kenya/CDC-Nyeri-016/2009	EPI_ISL_428744	Nyeri	"255,056"	"190,694"	25.8	13-Nov-09
A/Kenya/CDC-Nyeri-017/2009	EPI_ISL_428753	Nyeri	"411,801"	"248,076"	21.5	16-Nov-09
A/Kenya/CDC-Nyeri-018/2009	EPI_ISL_428754	Nyeri	"327,102"	"222,283"	22.43	20-Nov-09
A/Kenya/CDC-Nyeri-019/2009	EPI_ISL_428755	Nyeri	"291,812"	"34,172"	22.62	02-Dec-09
A/Kenya/CDC-Nyeri-020/2009	EPI_ISL_428756	Nyeri	"257,950"	"92,255"	24.23	09-Dec-09
A/Kenya/CDC-Nyeri-021/2010	EPI_ISL_428806	Nyeri	"389,613"	"326,008"	18.72	18-Jun-10
A/Kenya/CDC-Nyeri-022/2010	EPI_ISL_428807	Nyeri	"361,105"	"170,412"	24.88	22-Jun-10
A/Kenya/CDC-Nyeri-023/2010	EPI_ISL_428808	Nyeri	"325,727"	"171,080"	22.31	24-Jun-10
A/Kenya/CDC-Nyeri-024/2010	EPI_ISL_428809	Nyeri	"371,807"	"148,319"	20.42	09-Jul-10
A/Kenya/CDC-Nyeri-025/2010	EPI_ISL_428810	Nyeri	"310,207"	"99,677"	21.61	20-Jul-10
A/Kenya/CDC-Nyeri-026/2010	EPI_ISL_428811	Nyeri	"332,666"	"185,118"	21.33	26-Jul-10
A/Kenya/CDC-Nyeri-027/2010	EPI_ISL_428812	Nyeri	"288,267"	"114,315"	25	27-Jul-10
A/Kenya/CDC-Nyeri-028/2010	EPI_ISL_428813	Nyeri	"278,641"	"49,237"	21.3	29-Jul-10
A/Kenya/CDC-Nyeri-031/2010	EPI_ISL_428814	Nyeri	"227,794"	"170,469"	20.3	17-Sep-10
A/Kenya/CDC-Nyeri-032/2010	EPI_ISL_428815	Nyeri	"384,905"	"324,018"	21.02	18-Oct-10
A/Kenya/CDC-Nyeri-033/2010	EPI_ISL_428816	Nyeri	"312,191"	"280,454"	23.1	22-Oct-10
A/Kenya/CDC-Nyeri-034/2010	EPI_ISL_428817	Nyeri	"433,594"	"262,599"	21.59	09-Nov-10
A/Kenya/CDC-Nyeri-035/2010	EPI_ISL_428818	Nyeri	"405,017"	"204,824"	21.54	10-Nov-10
A/Kenya/CDC-Nyeri-036/2010	EPI_ISL_428819	Nyeri	"352,763"	"195,517"	22.32	15-Nov-10
A/Kenya/CDC-Nyeri-037/2011	EPI_ISL_428933	Nyeri	"389,528"	"217,418"	23.21	04-Jan-11
A/Kenya/CDC-Nyeri-038/2011	EPI_ISL_428934	Nyeri	"394,293"	"284,042"	18.52	14-Feb-11
A/Kenya/CDC-Nyeri-039/2011	EPI_ISL_428937	Nyeri	"1,254,603"	"455,950"	29.24	22-Feb-11
A/Kenya/CDC-Nyeri-040/2011	EPI_ISL_428938	Nyeri	"408,761"	"387,076"	23.57	24-Feb-11
A/Kenya/CDC-Nyeri-041/2011	EPI_ISL_428963	Nyeri	"457,069"	"78,486"	25.8	18-Apr-11
A/Kenya/CDC-Nyeri-042/2011	EPI_ISL_428964	Nyeri	"370,555"	"293,193"	24.66	06-Jul-11
A/Kenya/CDC-Nyeri-044/2011	EPI_ISL_428965	Nyeri	"306,626"	"260,677"	18.88	13-Jul-11
A/Kenya/CDC-Nyeri-045/2011	EPI_ISL_428966	Nyeri	"364,916"	"223,390"	20.98	20-Jul-11
A/Kenya/CDC-Nyeri-046/2011	EPI_ISL_428968	Nyeri	"343,206"	"41,227"	25.3	22-Jul-11
A/Kenya/CDC-Nyeri-047/2011	EPI_ISL_428967	Nyeri	"340,383"	"66,795"	22.8	29-Jul-11
A/Kenya/CDC-Nyeri-062/2014	EPI_ISL_428970	Nyeri	"974,971"	"798,039"	25.09	28-Apr-14
A/Kenya/CDC-Nyeri-065/2014	EPI_ISL_428971	Nyeri	"382,530"	"365,663"	28.99	03-Jun-14
A/Kenya/CDC-Nyeri-066/2014	EPI_ISL_428972	Nyeri	"451,731"	"160,030"	27.22	10-Jun-14
A/Kenya/CDC-Nyeri-067/2014	EPI_ISL_428973	Nyeri	"448,798"	"421,859"	27.82	18-Jun-14
A/Kenya/CDC-Nyeri-071/2014	EPI_ISL_428974	Nyeri	"421,534"	"51,542"	30.4	02-Jul-14
A/Kenya/CDC-Nyeri-072/2014	EPI_ISL_428975	Nyeri	"441,520"	"130,825"	33.2	02-Jul-14
A/Kenya/CDC-Nyeri-074/2014	EPI_ISL_428976	Nyeri	"361,100"	"108,207"	24.28	07-Jul-14
A/Kenya/CDC-Nyeri-075/2014	EPI_ISL_428977	Nyeri	"472,649"	"51,420"	31.55	06-Aug-14
A/Kenya/CDC-Nyeri-077/2015	EPI_ISL_428978	Nyeri	"487,801"	"450,015"	35.09	22-Jul-15
A/Kenya/CDC-Nyeri-078/2015	EPI_ISL_428979	Nyeri	"458,049"	"354,660"	25.9	27-Jul-15
A/Kenya/CDC-Nyeri-080/2015	EPI_ISL_428980	Nyeri	"469,748"	"113,947"	23.4	12-Aug-15
A/Kenya/CDC-Nyeri-081/2015	EPI_ISL_428981	Nyeri	"512,380"	"476,909"	26.7	12-Aug-15
